Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Fill Flag,Ozone,Solar Zenith Angle,Precipitable Water,Temperature,Dew Point,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Pressure,Wind Direction,Wind Speed,,
2020,1,1,0,0,0,0,0,0,0,0.246,178.1,1.1,11.7,9.1,0,0,0,83.98,0.12,1015,350,1.3,N/A,107.653
2020,1,1,1,0,0,0,0,0,0,0.247,168.07,1.1,11,8.6,0,0,0,85.28,0.12,1014,347,1.3,N/A,107.653
2020,1,1,2,0,0,0,0,0,0,0.248,154.33,1.1,10.4,8.2,0,0,0,86.05,0.12,1014,345,1.3,N/A,107.653
2020,1,1,3,0,0,0,0,0,0,0.249,140.66,1.1,9.9,7.7,0,0,0,86.47,0.12,1014,342,1.3,N/A,107.653
2020,1,1,4,0,0,0,0,0,0,0.249,127.12,1,9.3,7.4,0,0,0,87.76,0.12,1014,340,1.3,N/A,107.653
2020,1,1,5,0,0,0,0,0,0,0.249,113.76,1,8.8,7.1,0,0,0,88.79,0.12,1015,340,1.3,N/A,107.653
2020,1,1,6,0,0,0,0,0,0,0.255,100.64,1.4,9.9,9.9,0,0,0,100,0.13,1018,334,1.4,N/A,134.456
2020,1,1,7,0,12,48,14,0,0,0.255,87.73,1.3,11.9,11.3,12,48,14,96.22,0.13,1019,339,1.8,N/A,285.768
2020,1,1,8,0,93,371,183,0,0,0.255,75.98,1.3,14.5,12.2,93,371,183,86.23,0.13,1019,342,2.5,N/A,765.625
2020,1,1,9,0,145,547,376,0,0,0.255,65.1,1.3,17.1,13.9,145,547,376,81.26,0.13,1020,338,1.9,N/A,336.091
2020,1,1,10,0,169,662,540,3,0,0.254,55.88,1.4,20.7,14.9,179,551,488,69.54,0.13,1020,335,1.7,N/A,240.737
2020,1,1,11,0,179,724,651,0,0,0.253,49.29,1.4,23.4,14.5,179,724,651,57.51,0.13,1019,328,1.4,N/A,134.456
2020,1,1,12,0,220,672,682,0,0,0.252,46.48,1.5,24.3,14.3,220,672,682,53.71,0.13,1018,321,1.5,N/A,165.375
2020,1,1,13,0,214,661,655,7,0,0.251,48.13,1.6,24.5,14.2,202,621,617,52.71,0.13,1017,322,1.7,N/A,240.737
2020,1,1,14,0,197,621,564,0,1,0.251,53.82,1.6,24.3,14.3,197,621,564,53.63,0.13,1016,328,1.7,N/A,240.737
2020,1,1,15,0,166,535,414,0,0,0.251,62.44,1.7,23.7,14.5,166,535,414,56.33,0.13,1016,337,1.3,N/A,107.653
2020,1,1,16,0,118,383,230,1,0,0.251,72.96,1.7,22.3,16.5,118,383,230,69.56,0.13,1016,345,0.7,N/A,16.807
2020,1,1,17,0,34,121,46,3,3,0.251,84.59,1.8,21,13.5,33,65,39,62.08,0.13,1016,343,0.6,N/A,10.584
2020,1,1,18,0,0,0,0,8,0,0.25,97.22,1.8,20.5,12.8,0,0,0,61.12,0.13,1017,313,0.5,N/A,6.125
2020,1,1,19,0,0,0,0,1,0,0.25,110.19,1.9,19.4,12.8,0,0,0,65.68,0.13,1018,293,0.7,N/A,16.807
2020,1,1,20,0,0,0,0,4,0,0.25,123.47,1.9,18.3,13.1,0,0,0,71.74,0.13,1019,298,1,N/A,49
2020,1,1,21,0,0,0,0,0,0,0.252,136.97,2,17,13.4,0,0,0,79.59,0.13,1019,308,1.1,N/A,65.219
2020,1,1,22,0,0,0,0,0,0,0.253,150.61,2,15.9,13.5,0,0,0,85.92,0.13,1019,319,1.2,N/A,84.672
2020,1,1,23,0,0,0,0,0,0,0.254,164.34,2,15.3,13.7,0,0,0,89.98,0.13,1019,326,1.3,N/A,107.653
2020,1,2,0,0,0,0,0,0,0,0.255,178.07,2.1,14.9,13.8,0,0,0,93.36,0.13,1019,331,1.5,N/A,165.375
2020,1,2,1,0,0,0,0,0,0,0.255,168.1,2.1,14.7,14.2,0,0,0,96.72,0.13,1019,337,1.7,N/A,240.737
2020,1,2,2,0,0,0,0,7,0,0.255,154.36,2.1,14.5,14.5,0,0,0,100,0.13,1018,345,1.8,N/A,285.768
2020,1,2,3,0,0,0,0,7,0,0.256,140.69,2.1,14,14,0,0,0,100,0.13,1018,352,1.7,N/A,240.737
2020,1,2,4,0,0,0,0,6,0,0.256,127.14,2.1,13.5,13.5,0,0,0,100,0.13,1018,0,1.4,N/A,134.456
2020,1,2,5,0,0,0,0,7,0,0.256,113.78,2.1,13.1,13.1,0,0,0,100,0.13,1018,11,1.2,N/A,84.672
2020,1,2,6,0,0,0,0,8,0,0.255,100.71,2.1,13.2,13.2,0,0,0,100,0.13,1019,26,1,N/A,49
2020,1,2,7,0,10,32,11,3,3,0.254,87.79,2.1,14.8,14.8,11,0,11,100,0.13,1020,45,0.9,N/A,35.721
2020,1,2,8,0,98,292,168,8,3,0.254,76.03,2.1,16.7,15.6,87,263,150,93.32,0.13,1020,66,1.2,N/A,84.672
2020,1,2,9,0,156,482,358,7,0,0.256,65.13,2,19,16.8,173,262,283,87.18,0.13,1021,76,1,N/A,49
2020,1,2,10,0,189,584,517,7,0,0.258,55.88,2.1,22.7,16.7,249,73,289,68.71,0.13,1021,85,1,N/A,49
2020,1,2,11,0,208,639,625,7,0,0.259,49.25,2.1,24.4,15.9,273,401,535,59.12,0.13,1020,87,0.6,N/A,10.584
2020,1,2,12,0,238,607,656,8,0,0.261,46.41,2.2,25,15.7,230,571,623,56.26,0.13,1019,15,0.2,N/A,0.392
2020,1,2,13,0,237,591,632,8,0,0.262,48.02,2.3,25.2,15.5,291,370,538,55.06,0.13,1018,325,0.5,N/A,6.125
2020,1,2,14,0,219,543,541,7,0,0.263,53.69,2.4,25,15.7,237,412,481,56.44,0.13,1017,350,0.7,N/A,16.807
2020,1,2,15,0,194,417,388,0,0,0.264,62.31,2.5,24.7,16.3,194,417,388,59.61,0.13,1016,21,0.7,N/A,16.807
2020,1,2,16,0,129,265,207,8,5,0.264,72.83,2.7,23.6,17.6,129,265,207,69.23,0.13,1017,11,0.5,N/A,6.125
2020,1,2,17,0,30,64,37,7,5,0.263,84.46,2.8,22.2,16.2,30,64,37,68.8,0.13,1017,350,0.6,N/A,10.584
2020,1,2,18,0,0,0,0,3,0,0.262,97.09,2.9,21.1,15.8,0,0,0,71.85,0.13,1018,0,0.7,N/A,16.807
2020,1,2,19,0,0,0,0,7,0,0.262,110.06,3,20.2,15.9,0,0,0,76.08,0.13,1018,357,0.8,N/A,25.088
2020,1,2,20,0,0,0,0,7,0,0.262,123.35,3.1,19.3,16,0,0,0,80.99,0.13,1018,360,0.9,N/A,35.721
2020,1,2,21,0,0,0,0,7,0,0.262,136.85,3.1,18.4,16.1,0,0,0,86.72,0.13,1018,5,1.1,N/A,65.219
2020,1,2,22,0,0,0,0,8,0,0.262,150.49,3.1,17.5,16.2,0,0,0,91.95,0.13,1018,14,1.3,N/A,107.653
2020,1,2,23,0,0,0,0,8,0,0.263,164.22,3.2,17.2,16.1,0,0,0,93.03,0.13,1017,15,1.1,N/A,65.219
2020,1,3,0,0,0,0,0,4,0,0.263,177.94,3.4,16.8,16.1,0,0,0,95.55,0.13,1017,5,0.8,N/A,25.088
2020,1,3,1,0,0,0,0,4,0,0.264,168.2,3.5,16.3,16,0,0,0,97.81,0.13,1017,2,0.9,N/A,35.721
2020,1,3,2,0,0,0,0,4,0,0.265,154.46,3.6,16.1,16,0,0,0,99.46,0.13,1017,332,1.2,N/A,84.672
2020,1,3,3,0,0,0,0,4,0,0.265,140.78,3.7,16.2,16.1,0,0,0,99.06,0.13,1017,324,2,N/A,392
2020,1,3,4,0,0,0,0,8,0,0.266,127.23,3.7,16,15.9,0,0,0,99.36,0.13,1017,332,2.1,N/A,453.789
