Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Fill Flag,Ozone,Solar Zenith Angle,Precipitable Water,Temperature,Dew Point,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Pressure,Wind Direction,Wind Speed,
2018,1,1,0,0,0,0,0,0,0,0.24,177.91,1.4,14.6,9.5,0,0,0,71.5,0.12,1014,25,1.3,N/A
2018,1,1,1,0,0,0,0,0,0,0.238,165.21,1.4,14.1,9.2,0,0,0,72.57,0.12,1014,32,1.3,N/A
2018,1,1,2,0,0,0,0,0,0,0.237,151.61,1.4,13.6,9,0,0,0,73.81,0.12,1014,35,1.3,N/A
2018,1,1,3,0,0,0,0,1,0,0.235,138.07,1.4,13.1,8.8,0,0,0,75.18,0.12,1014,35,1.3,N/A
2018,1,1,4,0,0,0,0,0,0,0.234,124.66,1.4,12.6,8.6,0,0,0,76.79,0.12,1014,35,1.3,N/A
2018,1,1,5,0,0,0,0,0,0,0.233,111.47,1.4,12.3,8.5,0,0,0,77.53,0.12,1015,36,1.4,N/A
2018,1,1,6,0,0,0,0,7,0,0.255,98.62,2,15.7,15.6,0,0,0,99.34,0.13,1009,61,1.1,N/A
2018,1,1,7,0,25,168,36,7,5,0.253,86.05,1.9,18,16.8,25,168,36,92.49,0.13,1010,58,1.6,N/A
2018,1,1,8,0,77,521,216,7,0,0.252,74.55,1.9,20.1,17.6,78,453,199,85.29,0.13,1010,64,2.4,N/A
2018,1,1,9,0,106,689,407,7,0,0.25,64.12,1.8,22.2,18.4,125,565,372,79.01,0.13,1010,89,1.9,N/A
2018,1,1,10,0,123,771,559,1,0,0.249,55.53,1.8,23.6,18.6,123,771,559,73.34,0.13,1010,122,1.6,N/A
2018,1,1,11,0,131,814,657,7,0,0.247,49.77,1.8,24.4,18.5,180,659,605,69.59,0.13,1009,147,1.5,N/A
2018,1,1,12,0,132,829,688,7,0,0.247,47.89,1.8,24.8,18.3,156,750,659,67.2,0.13,1008,164,1.3,N/A
2018,1,1,13,0,128,819,651,7,0,0.246,50.32,1.7,24.9,18,151,730,618,65.67,0.13,1007,179,1.1,N/A
2018,1,1,14,0,118,776,546,7,0,0.247,56.51,1.7,24.8,17.8,202,469,461,65,0.13,1006,191,1.1,N/A
2018,1,1,15,0,106,663,383,7,0,0.248,65.39,1.7,24.1,18.3,130,506,341,70.05,0.13,1006,186,1,N/A
2018,1,1,16,0,75,475,190,7,3,0.249,76,1.7,22.4,19,83,321,160,81.03,0.13,1006,183,0.9,N/A
2018,1,1,17,0,14,85,18,7,5,0.249,87.56,1.8,19.4,17.3,14,85,18,87.51,0.13,1007,214,1.1,N/A
2018,1,1,18,0,0,0,0,7,0,0.249,100.28,1.9,19.2,16.5,0,0,0,84.58,0.13,1007,238,1,N/A
2018,1,1,19,0,0,0,0,6,0,0.249,113.2,2,19.8,16.4,0,0,0,80.81,0.13,1008,280,0.8,N/A
2018,1,1,20,0,0,0,0,6,0,0.249,126.43,2.1,19.1,16.6,0,0,0,85.34,0.13,1008,332,0.9,N/A
2018,1,1,21,0,0,0,0,6,0,0.249,139.86,2.2,18.4,16.4,0,0,0,88.26,0.13,1008,350,0.9,N/A
2018,1,1,22,0,0,0,0,6,0,0.25,153.42,2.4,17.8,15.8,0,0,0,88.27,0.13,1008,358,1,N/A
2018,1,1,23,0,0,0,0,6,0,0.25,167,2.5,17.7,15.5,0,0,0,87.07,0.13,1007,12,1,N/A
